fromNode	zip
635	98103
636	98103
637	98103
638	98103
639	98103
640	98103
641	98103
642	98103
643	98103
644	98103
645	98103
646	98103
647	98103
648	98103
649	98103
650	98103
651	98103
652	98103
653	98103
654	98103
655	98103
656	98103
657	98103
658	98103
659	98103
660	98103
661	98103
662	98103
663	98103
664	98103
665	98103
666	98103
667	98103
668	98103
669	98103
670	98103
671	98103
672	98103
673	98103
674	98103
675	98103
676	98103
677	98103
678	98103
679	98103
680	98103
681	98103
682	98103
683	98103
684	98103
685	98103
686	98103
687	98103
688	98103
689	98103
690	98103
691	98103
692	98103
693	98103
694	98103
695	98103
696	98103
697	98103
698	98103
699	98103
700	98103
701	98103
702	98103
703	98103
704	98103
705	98103
706	98103
707	98103
708	98103
709	98103
710	98103
711	98103
712	98103
713	98103
714	98103
715	98103
716	98103
717	98103
718	98103
719	98103
720	98103
721	98103
722	98103
723	98103
724	98103
725	98103
726	98103
727	98103
728	98103
729	98103
730	98103
731	98103
732	98103
733	98103
734	98103
735	98103
736	98103
737	98103
738	98103
739	98103
740	98103
741	98103
742	98103
743	98103
744	98103
745	98103
746	98103
747	98103
748	98103
749	98103
750	98103
751	98103
752	98103
753	98103
754	98103
755	98103
756	98103
757	98103
758	98103
759	98103
760	98103
761	98103
762	98103
763	98103
764	98103
765	98103
766	98103
767	98103
768	98103
769	98103
770	98103
771	98103
772	98103
773	98103
774	98103
775	98103
776	98103
777	98103
778	98103
779	98103
780	98103
781	98103
782	98103
783	98103
784	98103
785	98103
786	98103
787	98103
788	98103
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
789	98104
790	98104
790	98104
790	98104
790	98104
790	98104
790	98104
790	98104
790	98104
790	98104
790	98104
791	98104
791	98104
791	98104
791	98104
791	98104
791	98104
791	98104
791	98104
792	98104
792	98104
792	98104
792	98104
792	98104
792	98104
792	98104
793	98104
793	98104
793	98104
793	98104
793	98104
793	98104
794	98104
794	98104
794	98104
794	98104
794	98104
795	98104
795	98104
795	98104
795	98104
795	98104
796	98104
796	98104
796	98104
796	98104
797	98104
797	98104
797	98104
797	98104
798	98104
798	98104
798	98104
798	98104
799	98104
799	98104
799	98104
799	98104
800	98104
800	98104
800	98104
801	98104
801	98104
801	98104
802	98104
802	98104
802	98104
803	98104
803	98104
803	98104
804	98104
804	98104
804	98104
805	98104
805	98104
805	98104
806	98104
806	98104
806	98104
807	98104
807	98104
807	98104
808	98104
808	98104
808	98104
809	98104
809	98104
810	98104
810	98104
